BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    l gr.X	    l gr.Y	    l gr.Z	
   123	 0.512	     0.090	     0.006	    -0.165	
   124	 0.517	     0.089	     0.006	    -0.164	
   125	 0.521	     0.090	     0.006	    -0.164	
   126	 0.525	     0.090	     0.006	    -0.165	
   127	 0.529	     0.090	     0.006	    -0.164	
   128	 0.533	     0.090	     0.006	    -0.164	
   129	 0.538	     0.090	     0.006	    -0.165	
   130	 0.542	     0.090	     0.006	    -0.165	
   131	 0.546	     0.089	     0.006	    -0.164	
   132	 0.550	     0.090	     0.006	    -0.165	
   133	 0.554	     0.090	     0.006	    -0.165	
   134	 0.558	     0.090	     0.006	    -0.164	
   135	 0.563	     0.090	     0.006	    -0.164	
   136	 0.567	     0.089	     0.006	    -0.164	
   137	 0.571	     0.090	     0.006	    -0.164	
   138	 0.575	     0.090	     0.006	    -0.164	
   139	 0.579	     0.090	     0.006	    -0.164	
   140	 0.583	     0.090	     0.006	    -0.164	
   141	 0.587	     0.090	     0.006	    -0.164	
   142	 0.592	     0.090	     0.006	    -0.164	
   143	 0.596	     0.090	     0.006	    -0.164	
   144	 0.600	     0.090	     0.006	    -0.164	
   145	 0.604	     0.089	     0.006	    -0.164	
   146	 0.608	     0.090	     0.006	    -0.164	
   147	 0.613	     0.090	     0.006	    -0.164	
   148	 0.617	     0.090	     0.006	    -0.164	
   149	 0.621	     0.090	     0.006	    -0.163	
   150	 0.625	     0.090	     0.006	    -0.163	
   151	 0.629	     0.090	     0.006	    -0.163	
   152	 0.633	     0.090	     0.006	    -0.163	
   153	 0.637	     0.090	     0.006	    -0.163	
   154	 0.642	     0.090	     0.006	    -0.164	
   155	 0.646	     0.090	     0.006	    -0.164	
   156	 0.650	     0.090	     0.006	    -0.163	
   157	 0.654	     0.090	     0.006	    -0.164	
   158	 0.658	     0.090	     0.006	    -0.163	
   159	 0.663	     0.090	     0.006	    -0.163	
   160	 0.667	     0.090	     0.006	    -0.164	
   161	 0.671	     0.090	     0.006	    -0.163	
   162	 0.675	     0.090	     0.006	    -0.164	
   163	 0.679	     0.090	     0.006	    -0.163	
   164	 0.683	     0.090	     0.006	    -0.163	
   165	 0.688	     0.090	     0.006	    -0.163	
   166	 0.692	     0.090	     0.006	    -0.163	
   167	 0.696	     0.089	     0.006	    -0.164	
   168	 0.700	     0.090	     0.006	    -0.163	
   169	 0.704	     0.090	     0.006	    -0.163	
   170	 0.708	     0.090	     0.006	    -0.163	
   171	 0.712	     0.090	     0.006	    -0.163	
   172	 0.717	     0.090	     0.006	    -0.163	
   173	 0.721	     0.090	     0.006	    -0.163	
   174	 0.725	     0.090	     0.006	    -0.163	
   175	 0.729	     0.090	     0.006	    -0.163	
   176	 0.733	     0.090	     0.006	    -0.163	
   177	 0.738	     0.090	     0.006	    -0.163	
   178	 0.742	     0.090	     0.006	    -0.163	
   179	 0.746	     0.090	     0.006	    -0.163	
   180	 0.750	     0.090	     0.006	    -0.162	
   181	 0.754	     0.090	     0.006	    -0.163	
   182	 0.758	     0.090	     0.006	    -0.162	
   183	 0.762	     0.090	     0.006	    -0.162	
   184	 0.767	     0.090	     0.006	    -0.162	
   185	 0.771	     0.090	     0.006	    -0.162	
   186	 0.775	     0.090	     0.006	    -0.162	
   187	 0.779	     0.090	     0.006	    -0.162	
   188	 0.783	     0.090	     0.006	    -0.162	
   189	 0.788	     0.090	     0.006	    -0.162	
   190	 0.792	     0.090	     0.006	    -0.162	
   191	 0.796	     0.090	     0.006	    -0.162	
   192	 0.800	     0.090	     0.006	    -0.162	
   193	 0.804	     0.090	     0.006	    -0.162	
   194	 0.808	     0.090	     0.006	    -0.161	
   195	 0.813	     0.090	     0.006	    -0.161	
   196	 0.817	     0.090	     0.006	    -0.162	
   197	 0.821	     0.090	     0.006	    -0.162	
   198	 0.825	     0.090	     0.006	    -0.161	
   199	 0.829	     0.090	     0.006	    -0.161	
   200	 0.833	     0.090	     0.006	    -0.161	
   201	 0.837	     0.090	     0.006	    -0.161	
   202	 0.842	     0.090	     0.006	    -0.161	
   203	 0.846	     0.090	     0.006	    -0.161	
   204	 0.850	     0.090	     0.006	    -0.161	
   205	 0.854	     0.090	     0.006	    -0.161	
   206	 0.858	     0.090	     0.006	    -0.160	
   207	 0.863	     0.090	     0.006	    -0.161	
   208	 0.867	     0.090	     0.006	    -0.161	
   209	 0.871	     0.090	     0.006	    -0.161	
   210	 0.875	     0.090	     0.006	    -0.161	
   211	 0.879	     0.090	     0.006	    -0.161	
