BTS ASCII format

Type:         	Force 3D tracks
Measure unit: 	N

Tracks:       	2
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	    l gr.X	    l gr.Y	    l gr.Z	
    78	 0.325	    22.993	   249.920	     2.115	     1.249	   286.616	     5.721	
    79	 0.329	    23.523	   248.878	     1.565	     1.252	   287.120	     5.725	
    80	 0.333	    22.448	   249.408	     1.037	     1.784	   286.862	     6.265	
    81	 0.338	    23.527	   249.657	     1.572	     1.258	   286.624	     4.645	
    82	 0.342	    22.988	   249.400	     1.572	     1.243	   287.109	     6.801	
    83	 0.346	    22.446	   249.142	     1.034	     1.244	   286.611	     6.259	
    84	 0.350	    22.450	   249.403	     1.575	     0.173	   286.624	     5.712	
    85	 0.354	    22.988	   249.400	     1.572	     0.712	   286.874	     5.718	
    86	 0.358	    22.988	   249.406	     1.572	     0.708	   286.869	     6.256	
    87	 0.363	    22.454	   249.658	     2.115	     2.864	   286.859	     5.736	
    88	 0.367	    22.988	   249.406	     1.572	     0.715	   286.623	     5.178	
    89	 0.371	    22.988	   249.406	     1.572	     1.782	   286.608	     6.263	
    90	 0.375	    22.988	   249.400	     1.572	     1.784	   286.858	     6.265	
    91	 0.379	    23.519	   248.094	     1.559	     0.709	   287.116	     6.258	
    92	 0.383	    22.450	   249.403	     1.575	     1.785	   287.112	     6.267	
    93	 0.387	    22.989	   249.136	     2.108	     1.785	   287.112	     6.267	
    94	 0.392	    21.908	   248.627	     1.570	     0.711	   287.370	     6.260	
    95	 0.396	    22.984	   248.621	     1.566	     0.712	   286.120	     5.174	
    96	 0.400	    22.981	   248.096	     1.561	     0.712	   287.618	     6.262	
    97	 0.404	    22.984	   248.621	     1.566	     0.708	   287.614	     6.800	
    98	 0.408	    22.443	   248.105	     1.564	     0.711	   287.364	     6.260	
    99	 0.412	    22.985	   248.881	     1.568	     2.325	   287.355	     6.274	
   100	 0.417	    23.519	   248.093	     1.559	     0.715	   286.624	     5.178	
   101	 0.421	    22.978	   247.577	     1.557	     0.180	   287.128	     5.178	
   102	 0.425	    22.446	   248.618	     1.568	     0.711	   287.370	     6.260	
   103	 0.429	    23.521	   248.083	     2.097	     1.250	   287.616	     6.267	
   104	 0.433	    23.519	   248.093	     1.559	     0.719	   287.874	     5.726	
   105	 0.438	    22.982	   248.356	     1.563	     1.787	   287.359	     6.269	
   106	 0.442	    22.981	   248.102	     1.561	     0.174	   287.623	     6.258	
   107	 0.446	    22.977	   247.317	     1.554	     0.712	   286.869	     5.718	
   108	 0.450	    23.525	   249.137	     1.568	     0.719	   287.874	     5.726	
