BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	14
Frequency:    	60 Hz
Frames:       	692
Start time:   	0.000

 Frame	  Time	  r asis.X	  r asis.Y	  r asis.Z	 r thigh.X	 r thigh.Y	 r thigh.Z	r knee 1.X	r knee 1.Y	r knee 1.Z	  r mall.X	  r mall.Y	  r mall.Z	   r met.X	   r met.Y	   r met.Z	  l asis.X	  l asis.Y	  l asis.Z	 l thigh.X	 l thigh.Y	 l thigh.Z	l knee 1.X	l knee 1.Y	l knee 1.Z	  l mall.X	  l mall.Y	  l mall.Z	   l met.X	   l met.Y	   l met.Z	  r heel.X	  r heel.Y	  r heel.Z	  l heel.X	  l heel.Y	  l heel.Z	r should.X	r should.Y	r should.Z	l should.X	l should.Y	l should.Z	
    21	 0.350	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.067	    -0.044	     1.317	    -0.049	
    22	 0.367	    -0.122	     0.921	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.066	    -0.044	     1.317	    -0.049	
    23	 0.383	    -0.122	     0.920	    -0.090	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.066	    -0.044	     1.317	    -0.049	
    24	 0.400	    -0.122	     0.920	    -0.089	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.083	     0.192	     0.829	    -0.174	     0.133	     0.491	    -0.143	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.066	    -0.044	     1.317	    -0.049	
    25	 0.417	    -0.122	     0.920	    -0.089	    -0.175	     0.847	    -0.191	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.082	     0.192	     0.829	    -0.173	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.066	    -0.044	     1.317	    -0.049	
    26	 0.433	    -0.122	     0.920	    -0.089	    -0.175	     0.847	    -0.190	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.082	     0.192	     0.829	    -0.173	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.066	    -0.044	     1.317	    -0.049	
    27	 0.450	    -0.122	     0.920	    -0.089	    -0.175	     0.847	    -0.190	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.082	     0.192	     0.829	    -0.173	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.066	    -0.044	     1.317	    -0.049	
    28	 0.467	    -0.122	     0.920	    -0.089	    -0.175	     0.847	    -0.190	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.082	     0.192	     0.829	    -0.173	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.066	    -0.044	     1.317	    -0.048	
    29	 0.483	    -0.122	     0.920	    -0.089	    -0.175	     0.847	    -0.190	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.082	     0.192	     0.829	    -0.173	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.065	    -0.044	     1.317	    -0.048	
    30	 0.500	    -0.122	     0.920	    -0.089	    -0.175	     0.847	    -0.190	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.082	     0.192	     0.829	    -0.173	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.065	    -0.044	     1.317	    -0.048	
    31	 0.517	    -0.122	     0.920	    -0.089	    -0.175	     0.847	    -0.190	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.082	     0.192	     0.829	    -0.173	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.065	    -0.044	     1.316	    -0.048	
    32	 0.533	    -0.122	     0.920	    -0.088	    -0.175	     0.847	    -0.190	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.081	     0.192	     0.829	    -0.173	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.117	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.065	    -0.044	     1.316	    -0.048	
    33	 0.550	    -0.122	     0.920	    -0.088	    -0.175	     0.847	    -0.190	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.081	     0.192	     0.829	    -0.172	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.291	    -0.065	    -0.044	     1.316	    -0.048	
    34	 0.567	    -0.122	     0.920	    -0.088	    -0.175	     0.847	    -0.189	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.081	     0.192	     0.829	    -0.172	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.117	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.065	    -0.044	     1.316	    -0.048	
    35	 0.583	    -0.122	     0.920	    -0.088	    -0.175	     0.847	    -0.189	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.081	     0.192	     0.829	    -0.172	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.064	    -0.044	     1.316	    -0.048	
    36	 0.600	    -0.122	     0.920	    -0.088	    -0.175	     0.847	    -0.189	    -0.140	     0.498	    -0.171	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.081	     0.192	     0.829	    -0.172	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.064	    -0.044	     1.316	    -0.047	
    37	 0.617	    -0.122	     0.920	    -0.087	    -0.175	     0.847	    -0.189	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.080	     0.192	     0.829	    -0.172	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.064	    -0.044	     1.316	    -0.047	
    38	 0.633	    -0.122	     0.920	    -0.087	    -0.175	     0.847	    -0.189	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.080	     0.192	     0.829	    -0.172	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.064	    -0.044	     1.316	    -0.047	
    39	 0.650	    -0.122	     0.920	    -0.087	    -0.175	     0.847	    -0.189	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.080	     0.192	     0.829	    -0.172	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.064	    -0.044	     1.316	    -0.047	
    40	 0.667	    -0.122	     0.920	    -0.087	    -0.175	     0.847	    -0.188	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.080	     0.192	     0.829	    -0.171	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.064	    -0.044	     1.316	    -0.047	
    41	 0.683	    -0.122	     0.920	    -0.087	    -0.175	     0.847	    -0.188	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.080	     0.192	     0.829	    -0.171	     0.133	     0.491	    -0.142	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.063	    -0.044	     1.316	    -0.047	
    42	 0.700	    -0.122	     0.920	    -0.086	    -0.175	     0.847	    -0.188	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.079	     0.192	     0.829	    -0.171	     0.133	     0.491	    -0.141	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.063	    -0.044	     1.316	    -0.046	
    43	 0.717	    -0.122	     0.920	    -0.086	    -0.175	     0.847	    -0.188	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.082	     0.133	     0.917	    -0.079	     0.192	     0.829	    -0.171	     0.133	     0.491	    -0.141	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.063	    -0.044	     1.316	    -0.046	
    44	 0.733	    -0.122	     0.920	    -0.086	    -0.175	     0.847	    -0.188	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.079	     0.192	     0.829	    -0.171	     0.133	     0.491	    -0.141	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.063	    -0.044	     1.316	    -0.046	
    45	 0.750	    -0.122	     0.920	    -0.086	    -0.175	     0.847	    -0.188	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.079	     0.192	     0.829	    -0.170	     0.133	     0.491	    -0.141	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.063	    -0.044	     1.316	    -0.046	
    46	 0.767	    -0.122	     0.920	    -0.086	    -0.175	     0.847	    -0.187	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.079	     0.192	     0.829	    -0.170	     0.133	     0.491	    -0.141	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.063	    -0.044	     1.316	    -0.046	
    47	 0.783	    -0.122	     0.920	    -0.086	    -0.175	     0.847	    -0.187	    -0.140	     0.497	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.078	     0.192	     0.829	    -0.170	     0.133	     0.491	    -0.141	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.290	    -0.062	    -0.044	     1.315	    -0.045	
    48	 0.800	    -0.122	     0.920	    -0.086	    -0.175	     0.847	    -0.187	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.917	    -0.078	     0.192	     0.829	    -0.170	     0.133	     0.491	    -0.141	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.289	    -0.062	    -0.044	     1.315	    -0.045	
    49	 0.817	    -0.122	     0.920	    -0.085	    -0.175	     0.847	    -0.187	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.916	    -0.078	     0.192	     0.829	    -0.169	     0.133	     0.491	    -0.141	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.289	    -0.062	    -0.044	     1.315	    -0.045	
    50	 0.833	    -0.122	     0.920	    -0.085	    -0.175	     0.847	    -0.187	    -0.140	     0.498	    -0.170	    -0.127	     0.102	    -0.233	    -0.139	     0.051	    -0.081	     0.133	     0.916	    -0.078	     0.192	     0.829	    -0.169	     0.133	     0.491	    -0.141	     0.108	     0.098	    -0.214	     0.116	     0.047	    -0.069	    -0.083	     0.055	    -0.290	     0.067	     0.048	    -0.275	     0.055	     1.289	    -0.062	    -0.044	     1.315	    -0.044	
