BTS ASCII format

Type:         	Point 3D tracks
Measure unit: 	m

Tracks:       	1
Frequency:    	240 Hz
Frames:       	2737
Start time:   	0.000

 Frame	  Time	    r gr.X	    r gr.Y	    r gr.Z	
   118	 0.492	    -0.092	     0.008	    -0.185	
   119	 0.496	    -0.091	     0.008	    -0.184	
   120	 0.500	    -0.091	     0.008	    -0.183	
   121	 0.504	    -0.091	     0.008	    -0.184	
   122	 0.508	    -0.091	     0.008	    -0.184	
   123	 0.512	    -0.091	     0.008	    -0.183	
   124	 0.517	    -0.091	     0.008	    -0.183	
   125	 0.521	    -0.091	     0.008	    -0.184	
   126	 0.525	    -0.091	     0.008	    -0.184	
   127	 0.529	    -0.090	     0.008	    -0.183	
   128	 0.533	    -0.091	     0.008	    -0.183	
   129	 0.538	    -0.091	     0.008	    -0.184	
   130	 0.542	    -0.091	     0.008	    -0.184	
   131	 0.546	    -0.091	     0.008	    -0.183	
   132	 0.550	    -0.091	     0.008	    -0.183	
   133	 0.554	    -0.091	     0.008	    -0.183	
   134	 0.558	    -0.091	     0.008	    -0.183	
   135	 0.563	    -0.091	     0.008	    -0.183	
   136	 0.567	    -0.091	     0.008	    -0.183	
   137	 0.571	    -0.091	     0.008	    -0.183	
   138	 0.575	    -0.091	     0.008	    -0.183	
   139	 0.579	    -0.091	     0.008	    -0.183	
   140	 0.583	    -0.091	     0.008	    -0.183	
   141	 0.587	    -0.091	     0.008	    -0.183	
   142	 0.592	    -0.091	     0.008	    -0.183	
   143	 0.596	    -0.092	     0.008	    -0.182	
   144	 0.600	    -0.091	     0.008	    -0.182	
   145	 0.604	    -0.091	     0.008	    -0.183	
   146	 0.608	    -0.091	     0.008	    -0.182	
   147	 0.613	    -0.091	     0.008	    -0.182	
   148	 0.617	    -0.091	     0.008	    -0.182	
   149	 0.621	    -0.091	     0.008	    -0.182	
   150	 0.625	    -0.092	     0.008	    -0.182	
   151	 0.629	    -0.091	     0.008	    -0.182	
   152	 0.633	    -0.091	     0.008	    -0.182	
   153	 0.637	    -0.091	     0.008	    -0.182	
   154	 0.642	    -0.091	     0.008	    -0.182	
   155	 0.646	    -0.092	     0.008	    -0.182	
   156	 0.650	    -0.091	     0.008	    -0.182	
   157	 0.654	    -0.092	     0.008	    -0.182	
   158	 0.658	    -0.092	     0.008	    -0.182	
   159	 0.663	    -0.092	     0.008	    -0.183	
   160	 0.667	    -0.091	     0.008	    -0.182	
   161	 0.671	    -0.091	     0.008	    -0.182	
   162	 0.675	    -0.092	     0.008	    -0.182	
   163	 0.679	    -0.091	     0.008	    -0.182	
   164	 0.683	    -0.091	     0.008	    -0.182	
   165	 0.688	    -0.092	     0.008	    -0.182	
   166	 0.692	    -0.092	     0.008	    -0.182	
   167	 0.696	    -0.092	     0.008	    -0.182	
   168	 0.700	    -0.091	     0.008	    -0.181	
   169	 0.704	    -0.091	     0.008	    -0.181	
   170	 0.708	    -0.091	     0.008	    -0.182	
   171	 0.712	    -0.092	     0.008	    -0.181	
   172	 0.717	    -0.091	     0.008	    -0.180	
   173	 0.721	    -0.091	     0.008	    -0.180	
   174	 0.725	    -0.091	     0.008	    -0.180	
   175	 0.729	    -0.091	     0.008	    -0.180	
   176	 0.733	    -0.092	     0.008	    -0.181	
   177	 0.738	    -0.091	     0.008	    -0.180	
   178	 0.742	    -0.091	     0.008	    -0.181	
   179	 0.746	    -0.092	     0.008	    -0.181	
   180	 0.750	    -0.092	     0.008	    -0.180	
   181	 0.754	    -0.091	     0.008	    -0.180	
   182	 0.758	    -0.091	     0.008	    -0.179	
   183	 0.762	    -0.092	     0.008	    -0.179	
